_id,case_no,ap_case_defn_key,status_dttm,status,code,value,description,violation_stno,violation_sthigh,violation_street,violation_suffix,violation_city,violation_state,violation_zip,ward,contact_addr1,contact_addr2,contact_city,contact_state,contact_zip,sam_id,latitude,longitude,location
1,V91983,1013,,Closed,121.2,N/A,Unsafe and Dangerous,302,,Sumner,ST,East Boston,MA,02128,01,302 Sumner St,,East Boston,MA,02128,132380,42.36767899977675,-71.03658000178699,"(42.36767899977675, -71.03658000178699)"
2,V899232,1013,2026-03-27 09:08:07,Open,102.8,N/A,Maintenance,88,,Thetford,AV,Dorchester,MA,02124,17,88 THETFORD AV,,DORCHESTER,MA,02124,134840,42.28360000011136,-71.07740000160614,"(42.28360000011136, -71.07740000160614)"
3,V899206,1013,2026-03-27 07:35:16,Open,102.8,N/A,Maintenance,236A,240,Cambridge,ST,Boston,MA,02114,05,20 Randolph Road,,Brookline,MA,02467,162844,42.36096892764492,-71.06682273501652,"(42.36096892764492, -71.06682273501652)"
4,V898855,1013,2026-03-25 10:13:31,Open,105.1,N/A,Failure to Obtain Permit,335,347,Harrison,AV,Roxbury,MA,02118,03,345 Harrison Avenue,,Boston,MA,02118,355636,42.34503376751217,-71.06419739751462,"(42.34503376751217, -71.06419739751462)"
5,V898828,1013,2026-03-25 09:20:39,Open,105.1,N/A,Failure to Obtain Permit,217,,Albany,ST,Roxbury,MA,02118,03,2310 WASHINGTON ST,,NEWTON LOWER FALLS,MA,02462,1533,42.34544000003873,-71.06172000128106,"(42.34544000003873, -71.06172000128106)"
6,V898658,1013,2026-03-24 13:12:57,Open,105.1,N/A,Failure to Obtain Permit,240,260,Berkeley,ST,Roxbury,MA,02118,03,44 SPRING ST SUITE 6,,WATERTOWN,MA,02472,340716,42.34347750751288,-71.06349589861239,"(42.34347750751288, -71.06349589861239)"
7,V898578,1013,2026-03-24 10:12:21,Closed,Art. 2 Sect. 2-1,N/A,City of Boston Zoning Code,1006,1022,Massachusetts,AV,Roxbury,MA,02118,08,1010 Mass Ave,5th fl,Boston,MA,02118,167483,42.327950038070824,-71.06721126818432,"(42.327950038070824, -71.06721126818432)"
8,V898540,1013,2026-03-24 09:01:38,Open,105.1,N/A,Failure to Obtain Permit,21,,Wabon,ST,Dorchester,MA,02121,12,21 WABON ST,,DORCHESTER,MA,02121,141061,42.31466000033319,-71.08579000102152,"(42.31466000033319, -71.08579000102152)"
9,V898521,1013,2026-03-24 08:09:18,Open,116,N/A,Unsafe Structures,212,,Dorchester,ST,South Boston,MA,02127,07,21 PEDERZINI DR,,MEDFIELD,MA,02052,48938,42.333130000529046,-71.05027000154463,"(42.333130000529046, -71.05027000154463)"
10,V898394,1013,2026-03-23 14:56:00,Closed,105.1,N/A,Failure to Obtain Permit,37,,Radford,LN,Dorchester,MA,02124,16,37 RADFORD LANE,,DORCHESTER,MA,02124,114411,42.283799999286025,-71.06285000093249,"(42.283799999286025, -71.06285000093249)"
11,V898385,1013,2026-03-23 14:14:52,Closed,10.02 (18),N/A,Proper Maintenance,1006,1022,Massachusetts,AV,Roxbury,MA,02118,08,1010 Mass Ave,5th fl,Boston,MA,02118,167483,42.327950038070824,-71.06721126818432,"(42.327950038070824, -71.06721126818432)"
12,V898361,1013,2026-03-23 13:21:52,Open,116,N/A,Unsafe Structures,23,,Thomas,PK,South Boston,MA,02127,07,23 THOMAS PK,,SOUTH BOSTON,MA,02127,135619,42.33366000026171,-71.04636000138551,"(42.33366000026171, -71.04636000138551)"
13,V898297,1013,2026-03-23 08:53:25,Open,1001.3.2,N/A,Testing & Certification,380,390,Commercial,ST,Boston,MA,02109,03,799 Columbia Rd,Apt #1,Dorchester,MA,02125,36693,42.36653194401795,-71.05180492795043,"(42.36653194401795, -71.05180492795043)"
14,V898285,1013,2026-03-23 07:17:52,Open,116,N/A,Unsafe Structures,635,645,Beacon,ST,Boston,MA,02215,05,"c/o David Surette, SVP","201 WASHINGTON ST, SUITE 3920",BOSTON,MA,02108,420528,42.34842508879119,-71.09769328776686,"(42.34842508879119, -71.09769328776686)"
15,V897990,1013,2026-03-20 15:27:46,Open,107.4,N/A,Failed to comply w permit term,14,,Elder,ST,Dorchester,MA,02125,07,58 GAINSBOROUGH ST,,BOSTON,MA,02115,52584,42.32023000030727,-71.06334000096946,"(42.32023000030727, -71.06334000096946)"
16,V897956,1013,2026-03-20 10:37:20,Open,102.8,N/A,Maintenance,111,,Quincy,ST,Dorchester,MA,02121,13,111 QUINCY ST,,DORCHESTER,MA,02121,113997,42.3138299994726,-71.07762000133053,"(42.3138299994726, -71.07762000133053)"
17,V897950,1013,2026-03-20 10:22:23,Open,102.8,N/A,Maintenance,610,610A,Shawmut,AV,Roxbury,MA,02118,09,6 Wayne Street,Apt #1,Dorchester,MA,02121,126449,42.33555000032675,-71.0803300009209,"(42.33555000032675, -71.0803300009209)"
